seq,type,date,time,location,LatLng
1244,住宅竊盜,1060107,13~15,台北市士林區岩山里13鄰芝玉路1段197巷25弄1 ~ 30號,"25.1069856,121.53361760000007"
1245,住宅竊盜,1060109,10~12,台北市南港區合成里忠孝東路6段159巷4弄1 ~ 30號,"25.049785,121.58630419999997"
1246,住宅竊盜,1060109,16~18,台北市萬華區桂林路1 ~ 30號,"25.037703,121.50618179999992"
1247,住宅竊盜,1060110,04~06,台北市萬華區廣州街211 ~ 240號,"25.0367954,121.49993059999997"
1248,住宅竊盜,1060112,04~06,台北市大安區仁慈里復興南路1段279巷1 ~ 30號,"25.0354829,121.54526209999995"
1249,住宅竊盜,1060114,22~24,台北市松山區南京東路4段31 ~ 60號,"25.0519706,121.55064349999998"
1250,住宅竊盜,1060115,13~15,台北市北投區行義路186巷1 ~ 30號,"25.132623,121.52897299999995"
1251,住宅竊盜,1060116,10~12,台北市信義區大道里忠孝東路5段790巷22弄1 ~ 30號,"25.0425809,121.58241900000007"
1252,住宅竊盜,1060116,13~15,台北市文山區萬祥里景隆街1巷1 ~ 30號,"25.0006693,121.53990909999993"
1253,住宅竊盜,1060116,16~18,台北市士林區明勝里通河街323巷1 ~ 30號,"25.0783754,121.52274790000001"
1254,住宅竊盜,1060117,01~03,台北市松山區光復北路210巷31 ~ 60號,"25.0554083,121.55366090000007"
1255,住宅竊盜,1060117,07~09,台北市中正區南福里羅斯福路1段58巷17弄1 ~ 30號,"25.0305519,121.51900520000004"
1256,住宅竊盜,1060117,07~09,台北市大安區車層里忠孝東路4段216巷27弄1 ~ 30號,"25.0400238,121.55330989999993"
1257,住宅竊盜,1060117,16~18,台北市士林區葫蘆里05鄰葫蘆街121 ~ 150號,"25.0837572,121.50917300000003"
1258,住宅竊盜,1060121,04~06,台北市北投區福興里自強街5巷151 ~ 180號,"25.1126205,121.51065229999995"
1259,住宅竊盜,1060121,07~09,台北市文山區萬年里羅斯福路5段212巷1 ~ 30號,"25.0090637,121.53741539999999"
1260,住宅竊盜,1060122,01~03,台北市北投區關渡里大度路3段211 ~ 240號,"25.1230032,121.46751819999997"
1261,住宅竊盜,1060122,19~21,台北市大安區光信里光復南路456巷1 ~ 30號,"25.0356393,121.55679439999994"
1262,住宅竊盜,1060123,13~15,台北市中正區幸市里濟南路2段1 ~ 30號,"25.039973,121.53106290000005"
1263,住宅竊盜,1060125,22~24,台北市中山區松江路124巷19之1 ~ 30號,"25.0526856,121.53105589999996"
1264,住宅竊盜,1060126,01~03,台北市中正區河堤里金門街1 ~ 30號,"25.021304,121.5228439"
1265,住宅竊盜,1060126,19~21,台北市萬華區大理街1 ~ 30號,"25.0345878,121.50325150000003"
1266,住宅竊盜,1060127,04~06,台北市文山區萬興里004鄰新光路1段95巷1 ~ 30號,"24.9909912,121.57398999999998"
1267,住宅竊盜,1060127,13~15,台北市文山區樟文里019鄰辛亥路7段76巷1 ~ 30號,"24.9818675,121.5551223"
1268,住宅竊盜,1060127,22~24,台北市士林區大南路241 ~ 270號,"25.0884899,121.52043700000002"
1269,住宅竊盜,1060128,01~03,台北市士林區芝山里13鄰士東路266巷3弄1 ~ 30號,"25.1128081,121.53668800000003"
1270,住宅竊盜,1060128,01~03,台北市中山區德惠街167巷1 ~ 30號,"25.0672942,121.53166759999999"
1271,住宅竊盜,1060128,16~18,台北市士林區天福里4鄰忠誠路2段154巷1 ~ 30號,"25.1157388,121.53168579999999"
1272,住宅竊盜,1060130,16~18,台北市松山區民生東路3段91 ~ 120號,"25.0578409,121.54414659999998"
1273,住宅竊盜,1060202,07~09,台北市中正區永功里汀州路1段271 ~ 300號,"25.0264348,121.51351679999993"
1274,住宅竊盜,1060202,10~12,台北市士林區名山里至誠路2段92巷3弄1 ~ 30號,"25.1016429,121.52733720000003"
1275,住宅竊盜,1060202,22~24,台北市中山區龍江路370巷31 ~ 60號,"25.0665249,121.53928500000006"
1276,住宅竊盜,1060203,22~24,台北市大安區通化里光復南路691 ~ 720號,"25.0298642,121.5573382"
1277,住宅竊盜,1060207,04~06,台北市南港區東明里興華路61 ~ 90號,"25.0561158,121.60567070000002"
1278,住宅竊盜,1060207,16~18,台北市文山區興得里11鄰興隆路3段36巷9弄1 ~ 30號,"24.9999463,121.55556460000003"
1279,住宅竊盜,1060207,19~21,台北市內湖區港華街109巷1 ~ 30號,"25.0837937,121.57318370000007"
1280,住宅竊盜,1060208,07~09,台北市文山區萬美里010鄰萬美街1段91 ~ 120號,"25.0015889,121.56584700000008"
1281,住宅竊盜,1060209,04~06,台北市中正區忠勤里中華路2段315巷4弄1 ~ 30號,"25.02792,121.50679300000002"
1282,住宅竊盜,1060209,16~18,台北市萬華區東園街181 ~ 210號,"25.023807,121.49754899999994"
1283,住宅竊盜,1060212,19~21,台北市中山區明水路631 ~ 660號,"25.0826244,121.55111099999999"
1284,住宅竊盜,1060216,07~09,台北市大同區星明里民生西路178巷1 ~ 30號,"25.0570139,121.51759489999995"
1285,住宅竊盜,1060216,16~18,台北市北投區中和里4鄰中和街455巷3弄1 ~ 30號,"25.1441867,121.4966571"
1286,住宅竊盜,1060219,01~03,台北市內湖區內湖路1段411巷91 ~ 120號,"25.0881718,121.56275800000003"
1287,住宅竊盜,1060220,01~03,台北市中山區林森北路85巷1 ~ 30號,"25.0497684,121.52512520000005"
1288,住宅竊盜,1060222,13~15,台北市北投區文林里文林北路272巷1 ~ 30號,"25.1094279,121.51319809999995"
1289,住宅竊盜,1060222,19~21,台北市大安區龍坡里雲和街91 ~ 120號,"25.0230939,121.53303099999994"
1290,住宅竊盜,1060222,22~24,台北市文山區興旺里12鄰福興路78巷10弄1 ~ 30號,"25.0043575,121.55056630000001"
1291,住宅竊盜,1060224,16~18,台北市內湖區康樂街61巷15弄1 ~ 30號,"25.0691016,121.61965459999999"
1292,住宅竊盜,1060225,10~12,台北市內湖區安康路226巷1 ~ 30號,"25.061802,121.60295100000008"
1293,住宅竊盜,1060227,19~21,台北市萬華區西昌街181 ~ 210號,"25.0386763,121.50073999999995"
1294,汽車竊盜,1040104,22~24,台北市松山區塔悠路91~120號,"25.0543115,121.569749"
1295,汽車竊盜,1040119,01~03,台北市中山區新生北路二段91~120號,"25.0573288,121.52789459999997"
1296,汽車竊盜,1040120,01~03,台北市文山區老泉里老泉街1~30號,"24.9760043,121.5562251"
1297,汽車竊盜,1040120,07~09,台北市文山區木柵里木柵路三段48巷3弄1~30號,"24.988599,121.56452999999999"
1298,汽車竊盜,1040121,04~06,台北市中山區建國北路二段91~120號,"25.0587151,121.53738969999995"
1299,汽車竊盜,1040121,22~24,台北市萬華區華中河濱公園,"25.0154026,121.49476570000002"
1300,汽車竊盜,1040127,22~24,台北市松山區八德路三3段1~30號,"25.0486803,121.55631199999993"
1301,汽車竊盜,1040129,07~09,台北市北投區一德里中央北路四段181~210號,"25.1324144,121.47448180000004"
1302,汽車竊盜,1040201,16~18,台北市松山區濱江街七號水門,"25.0735843,121.5524848"
1303,汽車竊盜,1040202,07~09,台北市內湖區樂康里康樂街261巷,"25.0706208,121.61908970000002"
1304,汽車竊盜,1040210,04~06,台北市大同區鄰江里酒泉街241~270號,"25.0721495,121.50965670000005"
1305,汽車竊盜,1040211,13~15,台北市士林區福佳里美崙街31~60號,"25.0971891,121.5223995"
1306,汽車竊盜,1040211,22~24,台北市南港區新富里研究院路一段101巷誠正國中旁151~180號,查無經緯度
1307,汽車竊盜,1040212,04~06,台北市松山區健康路69巷1~30號,"25.0560349,121.56688099999997"
1308,汽車竊盜,1040213,13~15,台北市大安區仁愛里敦化南路一段270巷1~30號,"25.0388947,121.54670280000005"
1309,汽車竊盜,1040218,04~06,台北市松山區光復北路181~210號,"25.0587242,121.5553698"
1310,汽車竊盜,1040219,16~18,台北市士林區後港里通河東街二段121~150號,"25.0959939,121.51178140000002"
