seq	type	date	time	location	LatLng
1	住宅竊盜	970609	01~03	台北市信義區松隆里松山路615巷1 ~ 30號	"25.0270722,121.58279649999997"
2	住宅竊盜	991013	22~24	台北市內湖區成功路4段331 ~ 360號	"25.0844694,121.59923730000003"
3	住宅竊盜	991024	13~15	台北市南港區東新里興南街52巷1 ~ 30號	"25.056446,121.60432500000002"
4	住宅竊盜	1010601	07~09	台北市大安區誠安里忠孝東路3段251巷10弄1 ~ 30號	"25.0433918,121.5415772"
5	住宅竊盜	1010606	10~12	台北市中山區通北街65巷2弄1 ~ 30號	"25.0832353,121.53965470000003"
6	住宅竊盜	1010728	22~24	台北市萬華區萬大路486巷37弄61 ~ 90號	"25.020366,121.49400519999995"
7	住宅竊盜	1020101	19~21	台北市大同區雙連里萬全街103巷	"25.05835,121.51643289999993"
8	住宅竊盜	1020108	07~09	台北市中山區吉林路200巷23之1 ~ 30號	"25.0586081,121.52925830000004"
9	住宅竊盜	1021201	10~12	台北市大安區黎孝里和平東路3段308巷1弄1 ~ 30號	"25.0199469,121.55621900000006"
10	住宅竊盜	1030102	10~12	台北市文山區景美里育英街1 ~ 30號	"24.991588,121.538364"
11	住宅竊盜	1030915	01~03	台北市萬華區長泰街91 ~ 120號	"25.022638,121.49935389999996"
12	住宅竊盜	1031030	16~18	台北市北投區文化里文化三路91 ~ 120號	"25.140599,121.4981957"
13	住宅竊盜	1040101	07~09	台北市中山區新生北路一段91~120號	"25.0463313,121.53239759999997"
14	住宅竊盜	1040101	10~12	台北市文山區明興里興隆路四段1~30號	"24.991519,121.56074799999999"
15	住宅竊盜	1040101	22~24	台北市文山區萬美里萬寧街1~30號	"25.0033593,121.56388850000008"
16	住宅竊盜	1040101	22~24	台北市信義區富台里忠孝東路五段295巷6弄1~30號	"25.0417047,121.57377240000005"
17	住宅竊盜	1040102	04~06	台北市萬華區大理街159巷1~30號	"25.0342984,121.49594660000002"
18	住宅竊盜	1040102	04~06	台北市萬華區大理街159巷1~30號	"25.0342984,121.49594660000002"
19	住宅竊盜	1040102	10~12	台北市中山區吉林路121~150號	"25.0570513,121.53032050000002"
20	住宅竊盜	1040102	22~24	台北市士林區天福里1鄰忠誠路二段130巷1~30號	"25.1145416,121.5308311"
21	住宅竊盜	1040104	10~12	台北市信義區五常里永吉路225巷32弄1~30號	"25.047144,121.57311800000002"
22	住宅竊盜	1040104	10~12	台北市士林區明勝里通河街31 ~ 60號	"25.0800773,121.52303110000003"
23	住宅竊盜	1040105	04~06	台北市萬華區糖?里大理街159巷1~30號	"25.0342246,121.4959586"
24	住宅竊盜	1040105	10~12	台北市北投區吉慶里實踐街56巷1~30號	"25.1149989,121.50962149999998"
25	住宅竊盜	1040105	16~18	台北市中正區忠勤里中華路二段311巷1~30號	"25.0284004,121.50570930000004"
26	住宅竊盜	1040105	22~24	台北市中山區南京東路三段181~210號	"25.0516888,121.543275"
27	住宅竊盜	1040106	04~06	台北市信義區雅祥里基隆路一段1~30號	"25.0470216,121.56824649999999"
28	住宅竊盜	1040106	16~18	台北市中正區水源里汀州路三段91~120號	"25.014078,121.53352300000006"
29	住宅竊盜	1040108	07~09	台北市文山區萬美里萬美街一段61~90號	"25.0016237,121.56591490000005"
30	住宅竊盜	1040109	10~12	台北市內湖區港華里港華街1~30號	"25.0823766,121.57790499999999"
